role,content,timestamp
2025-04-03 13:19:07,Robot,"{""Hello! I'm Pepper, your exercise robot. How are you today?"", false}"
2025-04-03 13:19:07,Robot,"Hello! I'm Pepper, your exercise robot. How are you today?"
2025-04-03 13:19:20,User,I'm good. How are you?
2025-04-03 13:19:21,Robot,"I'm functioning well, thank you! Before we explain the exercises, I'll ask some questions. How old are you?"
2025-04-03 13:19:38,User,I 50
2025-04-03 13:19:39,Robot,Thank you. Is exercise something you choose to do?
2025-04-03 13:19:50,User,Bye.
2025-04-03 13:23:42,Robot,"{""Hello! I'm Pepper, your exercise robot. How are you today?"", false}"
2025-04-03 13:23:42,Robot,"Hello! I'm Pepper, your exercise robot. How are you today?"
2025-04-03 13:23:55,User,I'm doing good. How are you?
2025-04-03 13:23:56,Robot,"I'm just a robot, but I'm ready to help! Before we start, I'll ask a few questions. How old are you?"
2025-04-03 13:24:12,User,I am 50.
2025-04-03 13:24:12,Robot,Thank you. Is exercise something you choose to do?
2025-04-03 13:24:23,User,Bye.
2025-04-03 13:32:33,Robot,"{""Hello! I'm Pepper, your exercise robot. How are you today?"", false}"
2025-04-03 13:32:33,Robot,"Hello! I'm Pepper, your exercise robot. How are you today?"
2025-04-03 13:32:45,User,Bye.
2025-04-03 13:33:20,Robot,"{""Hello! I'm Pepper, your exercise robot. How are you today?"", false}"
2025-04-03 13:33:20,Robot,"Hello! I'm Pepper, your exercise robot. How are you today?"
2025-04-03 13:33:32,User,Bye.
2025-04-03 13:37:42,Robot,"{""Hello! I'm Pepper, your exercise robot. How are you today?"", false}"
2025-04-03 13:37:42,Robot,"Hello! I'm Pepper, your exercise robot. How are you today?"
2025-04-03 13:37:55,User,Bye
2025-04-03 13:48:08,Robot,"{""Hello! I'm Pepper, your exercise robot. How are you today?"", false}"
2025-04-03 13:48:08,Robot,"Hello! I'm Pepper, your exercise robot. How are you today?"
